Site,Depth,Time,CO2,CH4,N2O,DOC,FeII,CO2Pr,CH4Pr,N2OPr,DOCPr,FeIIPr,CO2sd,CH4sd,N2Osd,Fesd,NH4,NH4sd,NO3,NO3sd,SO4,SO4sd,DOC sd
Burned 2,0-12 cm,72,1545.9772,1.4150772,2.674196,28.58283669,3.146735655,,,,,,52.55223055,0.3397356,0.069883284,0.02038224,0.693498587,0.07783318,0.072765458,0.035515413,1.089332346,0.135227825,0.804492499
Burned 2,0-12 cm,96,1795.7652,1.5630424,1.817864,38.91057065,2.726723986,,,,,,77.92919805,0.13102068,0.033425962,0.063221196,1.12097738,0.077074577,0.047913236,0.003100654,0.442458803,0.043538269,1.118388175
Burned 2,0-12 cm,120,1910.0629,1.9584688,1.808925,44.94172626,3.202121804,,,,,,113.781464,0.092310615,0.080912681,0.05292091,1.180458005,0.002646334,0.097774473,0.00837373,0.240368048,0.088081086,0.142375756
Burned 2,0-12 cm,144,2208.6962,2.0790619,0.393999,25.63783635,3.94954406,,,,,,128.7229593,0.418180155,0.051211695,0.027421541,1.138478426,0.031010221,0.097697445,0.018141136,0.374160018,0.039777404,1.383275969
Burned 2,0-12 cm,168,2597.0195,2.4829906,0.200137,25.50849065,3.296427251,,,,,,8.732403615,0.035438235,0.084888159,0.007486425,1.010587311,0.042722847,0.038012448,0.009126906,0.27694662,0.053863436,0.011989136
Burned 2,12-24 cm,1,223.351656,0.01083321,1.218061,0.180087535,0.073499796,223.351656,0.01083321,1.218061,0.180087535,0.073499796,34.86986825,0.284079594,0.099462845,0.027296382,0.16800795,0.057893702,0.661309686,0.022359827,1.20114104,0.036198313,0.005618921
Burned 2,12-24 cm,2,327.029912,0.20518462,28.90403,4.699412628,0.104497962,103.678256,0.19435141,27.685969,4.519325093,0.030998166,38.06281548,0.127222913,1.015811042,0.011570929,0.394495791,0.085071637,0.548553974,0.039770043,2.889359681,0.107870243,0.712751318
Burned 2,12-24 cm,3,410.508208,0.4170764,21.634295,5.167311004,0.591774941,83.478296,0.21189178,-7.269735,0.467898376,0.487276979,11.3836907,0.054612895,0.236255807,0.085319984,0.37155165,0.020549713,0.411842101,0.083079633,2.903436266,0.111467672,1.078883685
Burned 2,12-24 cm,4,494.908656,0.66025743,1.838589,12.40413312,1.133402667,84.400448,0.24318103,-19.795706,7.236822116,0.541627726,70.6085315,0.136941066,0.129039904,0.089670354,0.814646243,0.049686423,0.418375608,0.086421101,1.935587955,0.035947892,2.06737447
Burned 2,12-24 cm,5,536.382,0.8159953,1.64291,15.83979467,0.584757267,41.473344,0.15573787,-0.195679,3.43566155,-0.5486454,50.60794445,0.085822073,0.094358957,0.011272893,0.741301041,0.01504979,0.304959029,0.052854111,1.62074542,0.089297341,2.6531628
Burned 2,12-24 cm,6,651.086568,0.8740312,1.547954,17.5960642,1.166282788,114.704568,0.0580359,-0.094956,1.75626953,0.581525521,105.3883929,0.000722483,0.176691886,0.008067018,0.475440893,0.057462057,0.285896321,0.019077344,1.191506565,0.039168353,2.777226687
Burned 2,12-24 cm,24,682.374,1.36689162,1.492812,28.84927355,1.333275521,,,,,,71.55439085,0.195848125,0.162547672,0.041565894,0.339811486,0.033342022,0.156928574,0.037153049,1.08556248,0.184889795,1.256554569
Burned 2,12-24 cm,48,852.52684,2.55656672,1.446715,22.24081991,1.544675886,,,,,,113.9586803,0.175525311,0.166895077,0.048718764,0.898785525,0.055687677,0.135486225,0.035186647,1.077608549,0.160237091,2.737029888
Burned 2,12-24 cm,72,869.88528,2.59321075,0.992817,35.45717496,1.710434508,,,,,,66.6328717,0.197262079,0.271709496,0.071123026,0.866157132,0.03073968,0.075534658,0.002230001,0.907453777,0.002516091,0.505174149
Burned 2,12-24 cm,96,887.550312,2.8440588,0.502906,49.82840873,2.101763946,,,,,,107.1634907,0.114267189,0.029772773,0.088472846,0.774010442,0.087325825,0.032303275,0.00741459,0.550175746,0.073606546,2.200359968
Burned 2,12-24 cm,120,996.363544,4.05478975,0.456115,55.56482179,2.427253537,,,,,,61.597822,0.091570063,0.060087148,0.070146107,1.625481343,0.017183582,0.013261587,0.001585144,0.346448351,0.039049446,1.171846973
Burned 2,12-24 cm,144,1044.912352,4.31641341,0.351144,23.59948512,1.73772153,,,,,,112.0770336,0.112638108,0.020939597,0.077613788,1.543714232,0.024836488,0.052467265,0.007074453,0.301004169,0.031786199,2.184511701
Burned 2,12-24 cm,168,1175.764392,4.7709356,0.105723,20.86458416,1.672258491,,,,,,107.8143407,0.26325939,0.002455036,0.015914959,1.33179248,0.06408482,0.071895667,0.018412347,0.227275339,0.069639274,1.078750451
Burned 3,0-12 cm,1,449.2158,1.2095392,25.334,2.018411844,0.493191279,449.2158,1.2095392,25.334,2.018411844,0.493191279,57.3197983,0.330992746,1.352341251,0.011439957,0.150613422,0.00678397,0.284522646,0.019666947,2.949754203,0.113794918,0.374181126
Burned 3,0-12 cm,2,523.227,1.4937856,130.591946,10.93181934,0.202422481,74.0112,0.2842464,105.257946,8.913407496,-0.290768798,44.10894166,0.108929743,10.90137284,0.03507891,0.680395833,0.031344754,0.311676792,0.05998492,2.975259673,0.02575885,1.654581516
Burned 3,0-12 cm,3,974.0591,1.5202091,9.587151,11.71629682,0.857507596,450.8321,0.0264235,-121.004795,0.78447748,0.655085115,27.9278132,0.217723755,0.423083478,0.070987655,0.729673931,0.061728632,0.193728472,0.073920894,1.297434566,0.124459988,2.787296654
